*20230412_GV001.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","EXPIRY DATE","ACTION",
001,03/03/23,1210000000101,10,,
001,03/03/23,1210000010100,10,,
001,03/03/23,1210000020109,10,,
001,03/03/23,1210000030108,10,,
001,03/03/23,1210000040107,10,,
001,03/03/23,1210000050106,10,,
001,03/03/23,1210000060105,10,,
001,03/03/23,1210000070104,10,,
001,03/03/23,1210000080103,10,,
001,03/03/23,1210000090102,10,,
001,03/03/23,1210000100108,10,,
001,03/03/23,1210000110503,50,,
001,03/03/23,1210000120502,50,,
001,03/03/23,1210000130501,50,,
001,03/03/23,1210000140500,50,,
001,03/03/23,1210000150509,50,,
001,03/03/23,1210000160508,50,,
001,03/03/23,1210000170507,50,,
001,03/03/23,1210000180506,50,,
001,03/03/23,1210000190505,50,,
001,03/03/23,1210000200501,50,,
001,03/03/23,1210000210500,50,,
001,15/03/23,1210000220509,50,,
001,15/03/23,1210000230508,50,,
001,15/03/23,1210000240507,50,,
001,15/03/23,1210000250506,50,,
001,15/03/23,1210000260505,50,,
001,15/03/23,1210000270504,50,,
001,15/03/23,1210000280503,50,,
001,15/03/23,1210000290502,50,,
001,15/03/23,1210000300102,10,,
001,15/03/23,1210000310101,10,,
001,15/03/23,1210000320100,10,,
001,15/03/23,1210000330109,10,,
001,15/03/23,1210000340108,10,,
001,15/03/23,1210000350107,10,,
001,15/03/23,1210000360106,10,,
001,15/03/23,1210000370105,10,,
001,15/03/23,1210000380104,10,,
001,15/03/23,1210000390103,10,,
001,15/03/23,1210000400109,10,,
*41
