*20230331_GV005.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","REDEEM STORE","EXPIRY DATE","BATCH NUMBER","ACTION"
375,26/05/24,110000000001,10,,,10000001,
371,26/05/24,110000000002,50,,,10000001,
375,26/05/24,110000000003,50,375,,10000001,
146,26/05/24,110000000004,10,146,,10000001,
430,26/05/24,110000000005,50,430,,10000001,
431,26/05/24,110000000006,10,,,10000001,
310,26/05/24,110000000007,50,310,,10000001,
373,26/05/24,110000000008,50,373,,10000001,
137,26/05/24,110000000009,50,137,,10000001,
185,26/05/24,110000000010,50,185,,10000001,
273,26/05/24,110000000011,50,273,,10000001,
231,26/05/24,110000000012,20,231,,10000001,
375,26/05/24,110000000013,10,,,10000001,
210,26/05/24,110000000014,50,210,,10000001,
284,26/05/24,110000000015,10,284,,10000001,
272,26/05/24,110000000016,20,,,10000001,
433,26/05/24,110000000017,20,,,10000001,
146,26/05/24,110000000018,10,,,10000001,
143,26/05/24,110000000019,10,143,,10000001,
275,26/05/24,110000000020,50,275,,10000001,
353,26/05/24,110000000021,50,,,10000001,
275,26/05/24,110000000022,20,,,10000001,
410,26/05/24,110000000023,20,,,10000001,
431,26/05/24,110000000024,10,431,,10000001,
185,26/05/24,110000000025,50,185,,10000001,
275,26/05/24,110000000026,20,,,10000001,
210,26/05/24,110000000027,50,210,,10000001,
375,26/05/24,110000000028,10,,,10000001,
353,26/05/24,110000000029,20,353,,10000001,
185,26/05/24,110000000030,50,,,10000001,
146,26/05/24,110000000031,50,,,10000001,
126,26/05/24,110000000032,20,,,10000001,
353,26/05/24,110000000033,10,353,,10000001,
310,26/05/24,110000000034,50,310,,10000001,
141,26/05/24,110000000035,20,141,,10000001,
210,26/05/24,110000000036,10,210,,10000001,
353,26/05/24,110000000037,20,,,10000001,
285,26/05/24,110000000038,50,,,10000001,
375,26/05/24,110000000039,10,,,10000001,
273,26/05/24,110000000040,10,,,10000001,
182,26/05/24,110000000041,50,182,,10000001,
231,26/05/24,110000000042,20,,,10000001,
371,26/05/24,110000000043,50,371,,10000001,
210,26/05/24,110000000044,20,,,10000001,
133,26/05/24,110000000045,10,133,,10000001,
381,26/05/24,110000000046,10,381,,10000001,
275,26/05/24,110000000047,50,,,10000001,
375,26/05/24,110000000048,20,,,10000001,
410,26/05/24,110000000049,50,,,10000001,
143,26/05/24,110000000050,10,143,,10000001,
272,26/05/24,110000000051,50,272,,10000001,
431,26/05/24,110000000052,10,431,,10000001,
285,26/05/24,110000000053,10,285,,10000001,
182,26/05/24,110000000054,10,,,10000001,
231,26/05/24,110000000055,20,231,,10000001,
127,26/05/24,110000000056,50,,,10000001,
210,26/05/24,110000000057,10,210,,10000001,
284,26/05/24,110000000058,50,,,10000001,
433,26/05/24,110000000059,20,433,,10000001,
369,26/05/24,110000000060,20,369,,10000001,
133,26/05/24,110000000061,10,,,10000001,
353,26/05/24,110000000062,20,353,,10000001,
132,26/05/24,110000000063,10,132,,10000001,
273,26/05/24,110000000064,50,273,,10000001,
373,26/05/24,110000000065,50,373,,10000001,
369,26/05/24,110000000066,20,,,10000001,
185,26/05/24,110000000067,20,,,10000001,
182,26/05/24,110000000068,10,182,,10000001,
375,26/05/24,110000000069,10,,,10000001,
276,26/05/24,110000000070,10,276,,10000001,
430,26/05/24,110000000071,20,430,,10000001,
369,26/05/24,110000000072,20,,,10000001,
285,26/05/24,110000000073,50,,,10000001,
272,26/05/24,110000000074,10,,,10000001,
431,26/05/24,110000000075,20,,,10000001,
373,26/05/24,110000000076,10,,,10000001,
182,26/05/24,110000000077,50,,,10000001,
185,26/05/24,110000000078,50,,,10000001,
210,26/05/24,110000000079,50,210,,10000001,
127,26/05/24,110000000080,20,,,10000001,
431,26/05/24,110000000081,50,431,,10000001,
381,26/05/24,110000000082,50,381,,10000001,
273,26/05/24,110000000083,50,273,,10000001,
133,26/05/24,110000000084,10,133,,10000001,
371,26/05/24,110000000085,20,371,,10000001,
146,26/05/24,110000000086,50,,,10000001,
132,26/05/24,110000000087,50,,,10000001,
137,26/05/24,110000000088,50,,,10000001,
353,26/05/24,110000000089,50,,,10000001,
133,26/05/24,110000000090,10,,,10000001,
146,26/05/24,110000000091,10,,,10000001,
137,26/05/24,110000000092,10,137,,10000001,
182,26/05/24,110000000093,10,182,,10000001,
272,26/05/24,110000000094,10,,,10000001,
371,26/05/24,110000000095,20,,,10000001,
374,26/05/24,110000000096,10,374,,10000001,
276,26/05/24,110000000097,10,276,,10000001,
371,26/05/24,110000000098,10,,,10000001,
