*20221031_GV001.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","EXPIRY DATE","ACTION"
001,02/09/22,1289695660105,10,,
001,02/09/22,1289695670104,10,,
001,02/09/22,1289695680103,10,,
001,02/09/22,1289695690102,10,,
001,02/09/22,1289695700108,10,,
001,20/09/22,1236135990506,50,,
001,20/09/22,1236136000501,50,,
001,20/09/22,1236136010500,50,,
001,20/09/22,1236136020509,50,,
001,20/09/22,1236136030508,50,,
001,20/09/22,1289986460100,10,,
001,20/09/22,1289986470109,10,,
001,20/09/22,1289986480108,10,,
001,20/09/22,1289986490107,10,,
001,20/09/22,1289986500103,10,,
001,04/10/22,1290130600105,10,,
001,04/10/22,1290130610104,10,,
001,04/10/22,1290130620103,10,,
001,04/10/22,1290130630102,10,,
001,04/10/22,1290130640101,10,,
*20
