*20230331_GV005.csv
ISSUE STORE,ISSUE DATE,VOUCHER NUMBER,VOUCHER AMOUNT,EXPIRY DATE,BATCH NUMBER,REDEEM STORE,ACTION
373,25/04/2024,100000009999,50,,10000001,373,
133,25/04/2024,100000010000,20,,10000001,,
276,25/04/2024,100000010001,20,,10000001,276,
375,25/04/2024,100000010002,20,,10000001,375,
374,25/04/2024,100000010003,10,,10000001,,
185,25/04/2024,100000010004,50,,10000001,185,
310,25/04/2024,100000010005,20,,10000001,310,
371,25/04/2024,100000010006,50,,10000001,,
374,25/04/2024,100000010007,10,,10000001,374,
272,25/04/2024,100000010008,20,,10000001,272,
143,25/04/2024,100000010009,50,,10000001,143,
369,25/04/2024,100000010010,20,,10000001,369,
273,25/04/2024,100000010011,10,,10000001,,
143,25/04/2024,100000010012,20,,10000001,,
374,25/04/2024,100000010013,50,,10000001,,
141,25/04/2024,100000010014,10,,10000001,,
272,25/04/2024,100000010015,20,,10000001,,
285,25/04/2024,100000010016,50,,10000001,285,
374,25/04/2024,100000010017,20,,10000001,374,
374,25/04/2024,100000010018,10,,10000001,374,
136,25/04/2024,100000010019,10,,10000001,136,
433,25/04/2024,100000010020,50,,10000001,433,
375,25/04/2024,100000010021,20,,10000001,,
369,25/04/2024,100000010022,20,,10000001,369,
273,25/04/2024,100000010023,10,,10000001,,
210,25/04/2024,100000010024,50,,10000001,,
146,25/04/2024,100000010025,10,,10000001,146,
374,25/04/2024,100000010026,20,,10000001,374,
136,25/04/2024,100000010027,20,,10000001,136,
136,25/04/2024,100000010028,20,,10000001,136,
137,25/04/2024,100000010029,10,,10000001,,
352,25/04/2024,100000010030,20,,10000001,352,
430,25/04/2024,100000010031,20,,10000001,430,
430,25/04/2024,100000010032,50,,10000001,,
310,25/04/2024,100000010033,10,,10000001,310,
185,25/04/2024,100000010034,10,,10000001,,
433,25/04/2024,100000010035,20,,10000001,433,
374,25/04/2024,100000010036,10,,10000001,374,
381,25/04/2024,100000010037,50,,10000001,381,
272,25/04/2024,100000010038,10,,10000001,272,
431,25/04/2024,100000010039,50,,10000001,431,
231,25/04/2024,100000010040,10,,10000001,,
276,25/04/2024,100000010041,50,,10000001,,
126,25/04/2024,100000010042,50,,10000001,126,
210,25/04/2024,100000010043,10,,10000001,210,
353,25/04/2024,100000010044,20,,10000001,,
146,25/04/2024,100000010045,50,,10000001,,
375,25/04/2024,100000010046,10,,10000001,375,
410,25/04/2024,100000010047,10,,10000001,,
146,25/04/2024,100000010048,20,,10000001,146,
210,25/04/2024,100000010049,10,,10000001,,
284,25/04/2024,100000010050,20,,10000001,284,
284,25/04/2024,100000010051,50,,10000001,,
210,25/04/2024,100000010052,50,,10000001,,
375,25/04/2024,100000010053,50,,10000001,,
373,25/04/2024,100000010054,50,,10000001,373,
371,25/04/2024,100000010055,50,,10000001,371,
431,25/04/2024,100000010056,10,,10000001,431,
185,25/04/2024,100000010057,50,,10000001,,
126,25/04/2024,100000010058,10,,10000001,,
310,25/04/2024,100000010059,20,,10000001,310,
