*20221031_GV001.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","EXPIRY DATE","ACTION"
001,01/09/22,1236016770500,50,31/08/24,
001,01/09/22,1236016780509,50,31/08/24,
001,01/09/22,1236016790508,50,31/08/24,
001,01/09/22,1236016800504,50,31/08/24,
001,01/09/22,1236016810503,50,31/08/24,
001,01/09/22,1236016820502,50,31/08/24,
001,01/09/22,1236016830501,50,31/08/24,
001,01/09/22,1289693760104,10,31/08/24,
001,01/09/22,1289693770103,10,31/08/24,
001,01/09/22,1289693780102,10,31/08/24,
001,01/09/22,1289693790101,10,31/08/24,
001,01/09/22,1289693800107,10,31/08/24,
001,01/09/22,1289693810106,10,31/08/24,
001,01/09/22,1289693820105,10,31/08/24,
001,01/09/22,1289693830104,10,31/08/24,
001,01/09/22,1289693840103,10,31/08/24,
001,01/09/22,1289693850102,10,31/08/24,
001,02/09/22,1236016970504,50,31/08/24,
001,02/09/22,1236016980503,50,31/08/24,
001,02/09/22,1236016990502,50,31/08/24,
001,02/09/22,1236017000507,50,31/08/24,
001,02/09/22,1236017010506,50,31/08/24,
001,02/09/22,1236017020505,50,31/08/24,
001,02/09/22,1289694280106,10,31/08/24,
001,02/09/22,1289694290105,10,31/08/24,
001,02/09/22,1289694300101,10,31/08/24,
001,02/09/22,1289694310100,10,31/08/24,
001,02/09/22,1289694320109,10,31/08/24,
001,02/09/22,1289694330108,10,31/08/24,
001,02/09/22,1289709710109,10,31/08/24,
*30
