*20230326_GV002.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","EXPIRY DATE","ACTION"
001,26/03/23,1200000100505,50,,
001,26/03/23,1200000110504,50,,
001,26/03/23,1200000120503,50,,
001,26/03/23,1200000130502,50,,
001,26/03/23,1200000140501,50,,
001,26/03/23,1200000150500,50,,
001,26/03/23,1200000160509,50,,
001,26/03/23,1200000170508,50,,
001,26/03/23,1200000180507,50,,
001,26/03/23,1200000190506,50,,
001,31/03/23,1240000000108,10,31/03/25,
001,31/03/23,1240000010107,10,31/03/25,
001,31/03/23,1240000020106,10,31/03/25,
001,31/03/23,1240000030105,10,31/03/25,
001,31/03/23,1240000040104,10,31/03/25,
001,31/03/23,1240000050103,10,31/03/25,
001,31/03/23,1240000060102,10,31/03/25,
001,31/03/23,1240000070101,10,31/03/25,
001,31/03/23,1240000080100,10,31/03/25,
001,31/03/23,1240000090109,10,31/03/25,
*20
