*20230331_GV005.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","REDEEM STORE","EXPIRY DATE","BATCH NUMBER","ACTION"
127,15/05/24,100014524348,10,,,00001,
127,15/05/24,100014524349,10,,,00001,
127,15/05/24,100014524350,10,,,00001,
127,15/05/24,100014524351,10,,,00001,
127,15/05/24,100014524352,10,,,00001,
127,15/05/24,100014524353,10,,,00001,
127,15/05/24,100014524354,10,,,00001,
127,15/05/24,100014524355,10,,,00001,
127,15/05/24,100014524356,10,,,00001,
127,15/05/24,100014524357,10,,,00001,


*1


             

